strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
CBS 119176	569362	GCA_017656835.1	GCA_017656835.1	True	Scaffold	current		36573545	30	3530645	4	73	48.0			Fusarium gerlachii	569362	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,569362	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium gerlachii				2759		4751	4890	147550	5125	110618	5506	569362						https://genome.ucsc.edu/h/GCA_017656835.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/835/GCA_017656835.1/genes/GCA_017656835.1_ASM1765683v1.augustus.gtf.gz
CBS 119175	569362	GCA_017656845.1	GCA_017656845.1	False	Scaffold	current		36603629	37	2421039	4	65	48.0			Fusarium gerlachii	569362	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,569362	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium gerlachii				2759		4751	4890	147550	5125	110618	5506	569362						https://genome.ucsc.edu/h/GCA_017656845.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/845/GCA_017656845.1/genes/GCA_017656845.1_ASM1765684v1.augustus.gtf.gz
CBS 123659	281068	GCA_017656885.1	GCA_017656885.1	False	Scaffold	current		36712207	21	2925305	6	80	48.0			Fusarium cortaderiae	281068	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,281068	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium cortaderiae				2759		4751	4890	147550	5125	110618	5506	281068						https://genome.ucsc.edu/h/GCA_017656885.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/885/GCA_017656885.1/genes/GCA_017656885.1_ASM1765688v1.augustus.gtf.gz
CBS 119183	281068	GCA_017656915.1	GCA_017656915.1	True	Scaffold	current		37069992	23	4617821	3	74	48.0			Fusarium cortaderiae	281068	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,281068	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium cortaderiae				2759		4751	4890	147550	5125	110618	5506	281068						https://genome.ucsc.edu/h/GCA_017656915.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/915/GCA_017656915.1/genes/GCA_017656915.1_ASM1765691v1.augustus.gtf.gz
CBS 123655	281068	GCA_017656935.1	GCA_017656935.1	False	Scaffold	current		36711727	37	1936805	7	67	48.0			Fusarium cortaderiae	281068	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,281068	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium cortaderiae				2759		4751	4890	147550	5125	110618	5506	281068						https://genome.ucsc.edu/h/GCA_017656935.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/935/GCA_017656935.1/genes/GCA_017656935.1_ASM1765693v1.augustus.gtf.gz
CBS 110251	282271	GCA_017656945.1	GCA_017656945.1	False	Scaffold	current		36484846	29	3273865	5	63	48.0			Fusarium boothii	282271	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282271	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium boothii				2759		4751	4890	147550	5125	110618	5506	282271						https://genome.ucsc.edu/h/GCA_017656945.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/945/GCA_017656945.1/genes/GCA_017656945.1_ASM1765694v1.augustus.gtf.gz
CBS 119179	281087	GCA_017656955.1	GCA_017656955.1	True	Scaffold	current		37002032	45	3063000	5	72	48.0			Fusarium brasilicum	281087	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,281087	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium brasilicum				2759		4751	4890	147550	5125	110618	5506	281087						https://genome.ucsc.edu/h/GCA_017656955.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/955/GCA_017656955.1/genes/GCA_017656955.1_ASM1765695v1.augustus.gtf.gz
CBS 316.73	282271	GCA_017656985.1	GCA_017656985.1	True	Scaffold	current		36363344	32	2312329	6	80	48.0			Fusarium boothii	282271	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282271	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium boothii				2759		4751	4890	147550	5125	110618	5506	282271						https://genome.ucsc.edu/h/GCA_017656985.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/985/GCA_017656985.1/genes/GCA_017656985.1_ASM1765698v1.augustus.gtf.gz
CBS 119170	282271	GCA_017656995.1	GCA_017656995.1	False	Scaffold	current		35612719	620	86879	122	45	48.5			Fusarium boothii	282271	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282271	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium boothii				2759		4751	4890	147550	5125	110618	5506	282271						https://genome.ucsc.edu/h/GCA_017656995.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/656/995/GCA_017656995.1/genes/GCA_017656995.1_ASM1765699v1.augustus.gtf.gz
CBS 110244	282268	GCA_017657025.1	GCA_017657025.1	False	Scaffold	current		36353451	351	169318	69	51	48.5			Fusarium austroamericanum	282268	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282268	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium austroamericanum				2759		4751	4890	147550	5125	110618	5506	282268						https://genome.ucsc.edu/h/GCA_017657025.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/025/GCA_017657025.1/genes/GCA_017657025.1_ASM1765702v1.augustus.gtf.gz
CBS 110246	282268	GCA_017657035.1	GCA_017657035.1	True	Scaffold	current		37177464	72	1834198	8	65	48.0			Fusarium austroamericanum	282268	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282268	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium austroamericanum				2759		4751	4890	147550	5125	110618	5506	282268						https://genome.ucsc.edu/h/GCA_017657035.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/035/GCA_017657035.1/genes/GCA_017657035.1_ASM1765703v1.augustus.gtf.gz
CBS 122858	569394	GCA_017657045.1	GCA_017657045.1	True	Scaffold	current		36818935	33	2594118	5	66	48.0			Fusarium aethiopicum	569394	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,569394	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium aethiopicum				2759		4751	4890	147550	5125	110618	5506	569394						https://genome.ucsc.edu/h/GCA_017657045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/045/GCA_017657045.1/genes/GCA_017657045.1_ASM1765704v1.augustus.gtf.gz
CBS 110258	282267	GCA_017657095.1	GCA_017657095.1	False	Scaffold	current		36517132	891	67369	166	43	48.0			Fusarium asiaticum	282267	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282267	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium asiaticum				2759		4751	4890	147550	5125	110618	5506	282267						https://genome.ucsc.edu/h/GCA_017657095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/095/GCA_017657095.1/genes/GCA_017657095.1_ASM1765709v1.augustus.gtf.gz
CBS 110255	282272	GCA_017657105.1	GCA_017657105.1	True	Scaffold	current		36922138	24	3192218	4	71	48.0			Fusarium acaciae-mearnsii	282272	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282272	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium acaciae-mearnsii				2759		4751	4890	147550	5125	110618	5506	282272						https://genome.ucsc.edu/h/GCA_017657105.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/105/GCA_017657105.1/genes/GCA_017657105.1_ASM1765710v1.augustus.gtf.gz
CBS 123662	282272	GCA_017657115.1	GCA_017657115.1	False	Scaffold	current		35839879	319	176695	64	74	48.5			Fusarium acaciae-mearnsii	282272	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282272	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium acaciae-mearnsii				2759		4751	4890	147550	5125	110618	5506	282272						https://genome.ucsc.edu/h/GCA_017657115.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/115/GCA_017657115.1/genes/GCA_017657115.1_ASM1765711v1.augustus.gtf.gz
CBS 110253	282272	GCA_017657135.1	GCA_017657135.1	False	Scaffold	current		36870200	23	2967885	5	76	48.0			Fusarium acaciae-mearnsii	282272	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,282272	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium acaciae-mearnsii				2759		4751	4890	147550	5125	110618	5506	282272						https://genome.ucsc.edu/h/GCA_017657135.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/657/135/GCA_017657135.1/genes/GCA_017657135.1_ASM1765713v1.augustus.gtf.gz
CanA	2698477	GCA_017788925.1	GCA_017788925.1	False	Scaffold	current		7382644	33	422430	8	15	26.0			Pneumocystis canis	2698477	1,131567,2759,33154,4751,451864,4890,451866,147553,37987,44281,4753,2698477	Ascomycota	Eukaryota		Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis canis				2759		4751	4890	147553	37987	44281	4753	2698477						https://genome.ucsc.edu/h/GCA_017788925.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/788/925/GCA_017788925.1/genes/GCA_017788925.1_ASM1778892v1.ncbiGene.gtf.gz
Ck2	2698477	GCA_017911135.1	GCA_017911135.1	False	Scaffold	current		3659264	310	190348	8	17	29.5			Pneumocystis canis	2698477	1,131567,2759,33154,4751,451864,4890,451866,147553,37987,44281,4753,2698477	Ascomycota	Eukaryota		Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis canis				2759		4751	4890	147553	37987	44281	4753	2698477						https://genome.ucsc.edu/h/GCA_017911135.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/911/135/GCA_017911135.1/genes/GCA_017911135.1_ASM1791113v1.ncbiGene.gtf.gz
ES15	5116	GCA_018104285.1	GCA_018104285.1	False	Chromosome	current	4.0	43157375	17	4077748	5	95	51.0			Cryphonectria parasitica	5116	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5114,399129,218105,5115,5116	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Cryphonectria	Cryphonectria parasitica				2759		4751	4890	147550	5114	399129	5115	5116						https://genome.ucsc.edu/h/GCA_018104285.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/104/285/GCA_018104285.1/genes/GCA_018104285.1_INRAE_Cpar_1.0.augustus.gtf.gz
	2698480	GCA_018127085.1	GCA_018127085.1	False	Chromosome	current	16.0	8274841	19	505402	8	1395	29.0			Pneumocystis sp. 'macacae'	2698480	1,131567,2759,33154,4751,451864,4890,451866,147553,37987,44281,4753,2622600,2698480	Ascomycota	Eukaryota		Fungi	Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis sp. 'macacae'				2759		4751	4890	147553	37987	44281	4753	2698480						https://genome.ucsc.edu/h/GCA_018127085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/127/085/GCA_018127085.1/genes/GCA_018127085.1_P2C.v1.0.ncbiGene.gtf.gz
KDG21	5062	GCA_018140735.1	GCA_018140735.1	False	Chromosome	current	8.0	38120435	212	2384116	6	186	48.0			Aspergillus oryzae	5062	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5062	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus oryzae				2759		4751	4890	147545	5042	1131492	5052	5062						https://genome.ucsc.edu/h/GCA_018140735.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/140/735/GCA_018140735.1/genes/GCA_018140735.1_ASM1814073v1.augustus.gtf.gz
	5062	GCA_018140755.1	GCA_018140755.1	False	Chromosome	current	8.0	38652902	194	2396815	6	187	48.0			Aspergillus oryzae	5062	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5062	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus oryzae				2759		4751	4890	147545	5042	1131492	5052	5062						https://genome.ucsc.edu/h/GCA_018140755.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/140/755/GCA_018140755.1/genes/GCA_018140755.1_ASM1814075v1.augustus.gtf.gz
	5059	GCA_018140865.1	GCA_018140865.1	False	Chromosome	current	8.0	37787861	241	2392921	6	175	48.0			Aspergillus flavus	5059	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5059	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus				2759		4751	4890	147545	5042	1131492	5052	5059						https://genome.ucsc.edu/h/GCA_018140865.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/140/865/GCA_018140865.1/genes/GCA_018140865.1_ASM1814086v1.augustus.gtf.gz
ATCC 22546	5059	GCA_018140885.1	GCA_018140885.1	False	Chromosome	current	8.0	36049750	96	4883683	4	449	47.5			Aspergillus flavus	5059	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5059	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus				2759		4751	4890	147545	5042	1131492	5052	5059						https://genome.ucsc.edu/h/GCA_018140885.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/140/885/GCA_018140885.1/genes/GCA_018140885.1_ASM1814088v1.augustus.gtf.gz
T6	5270	GCA_018153955.1	GCA_018153955.1	False	Scaffold	current		19553394	365	498693	12	108	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018153955.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/153/955/GCA_018153955.1/genes/GCA_018153955.1_ASM1815395v1.augustus.gtf.gz
T5	5270	GCA_018153985.1	GCA_018153985.1	False	Scaffold	current		19603521	478	376757	15	125	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018153985.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/153/985/GCA_018153985.1/genes/GCA_018153985.1_ASM1815398v1.augustus.gtf.gz
T4	5270	GCA_018154035.1	GCA_018154035.1	False	Scaffold	current		19547534	496	330199	18	120	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154035.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/035/GCA_018154035.1/genes/GCA_018154035.1_ASM1815403v1.augustus.gtf.gz
T2	5270	GCA_018154095.1	GCA_018154095.1	False	Scaffold	current		19647002	482	375987	17	114	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/095/GCA_018154095.1/genes/GCA_018154095.1_ASM1815409v1.augustus.gtf.gz
S5	5270	GCA_018154105.1	GCA_018154105.1	False	Scaffold	current		19506874	353	499238	14	149	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154105.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/105/GCA_018154105.1/genes/GCA_018154105.1_ASM1815410v1.augustus.gtf.gz
S3	5270	GCA_018154185.1	GCA_018154185.1	False	Scaffold	current		19619605	421	498675	14	120	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154185.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/185/GCA_018154185.1/genes/GCA_018154185.1_ASM1815418v1.augustus.gtf.gz
S2	5270	GCA_018154205.1	GCA_018154205.1	False	Scaffold	current		19543733	416	509925	11	185	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154205.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/205/GCA_018154205.1/genes/GCA_018154205.1_ASM1815420v1.augustus.gtf.gz
P5	5270	GCA_018154295.1	GCA_018154295.1	False	Scaffold	current		19546661	393	475227	12	138	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154295.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/295/GCA_018154295.1/genes/GCA_018154295.1_ASM1815429v1.augustus.gtf.gz
P6	5270	GCA_018154385.1	GCA_018154385.1	False	Scaffold	current		19536400	353	468461	14	132	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154385.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/385/GCA_018154385.1/genes/GCA_018154385.1_ASM1815438v1.augustus.gtf.gz
P4	5270	GCA_018154395.1	GCA_018154395.1	False	Scaffold	current		19510621	296	444704	13	109	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154395.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/395/GCA_018154395.1/genes/GCA_018154395.1_ASM1815439v1.augustus.gtf.gz
P3	5270	GCA_018154425.1	GCA_018154425.1	False	Scaffold	current		19911006	425	498918	13	110	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/425/GCA_018154425.1/genes/GCA_018154425.1_ASM1815442v1.augustus.gtf.gz
P2	5270	GCA_018154495.1	GCA_018154495.1	False	Scaffold	current		19523824	302	469913	13	129	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154495.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/495/GCA_018154495.1/genes/GCA_018154495.1_ASM1815449v1.augustus.gtf.gz
O4	5270	GCA_018154565.1	GCA_018154565.1	False	Scaffold	current		19554160	316	551770	12	142	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154565.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/565/GCA_018154565.1/genes/GCA_018154565.1_ASM1815456v1.augustus.gtf.gz
O5	5270	GCA_018154595.1	GCA_018154595.1	False	Scaffold	current		19511902	343	470405	15	113	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154595.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/595/GCA_018154595.1/genes/GCA_018154595.1_ASM1815459v1.augustus.gtf.gz
O3	5270	GCA_018154645.1	GCA_018154645.1	False	Scaffold	current		19573542	319	446121	15	126	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154645.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/645/GCA_018154645.1/genes/GCA_018154645.1_ASM1815464v1.augustus.gtf.gz
O2	5270	GCA_018154685.1	GCA_018154685.1	False	Scaffold	current		19516151	366	356334	17	113	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/685/GCA_018154685.1/genes/GCA_018154685.1_ASM1815468v1.augustus.gtf.gz
O1	5270	GCA_018154715.1	GCA_018154715.1	False	Scaffold	current		19500729	330	406270	14	115	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/715/GCA_018154715.1/genes/GCA_018154715.1_ASM1815471v1.augustus.gtf.gz
I6	5270	GCA_018154785.1	GCA_018154785.1	False	Scaffold	current		19536098	401	345526	17	125	54.0			Mycosarcoma maydis	5270	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,2689624,5270	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Mycosarcoma	Mycosarcoma maydis				2759		4751	5204	5257	5267	5268	2689624	5270				huitlacoche		https://genome.ucsc.edu/h/GCA_018154785.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/154/785/GCA_018154785.1/genes/GCA_018154785.1_ASM1815478v1.augustus.gtf.gz
